"covariate_analysis_id","covariate_analysis_name","analysis_id"
1,"DemographicsGender",1
7,"DemographicsIndexMonth",1
410,"DrugGroupEraLongTerm",1
904,"Chads2Vasc",1
6,"DemographicsIndexYear",1
802,"ObservationLongTerm",1
4,"DemographicsRace",1
903,"Chads2",1
504,"ProcedureOccurrenceShortTerm",1
702,"MeasurementLongTerm",1
3,"DemographicsAgeGroup",1
412,"DrugGroupEraShortTerm",1
502,"ProcedureOccurrenceLongTerm",1
902,"Dcsi",1
901,"CharlsonIndex",1
212,"ConditionGroupEraShortTerm",1
5,"DemographicsEthnicity",1
210,"ConditionGroupEraLongTerm",1
804,"ObservationShortTerm",1
413,"DrugGroupEraOverlapping",1
704,"MeasurementShortTerm",1
7,"DemographicsIndexMonth",2
504,"ProcedureOccurrenceShortTerm",2
3,"DemographicsAgeGroup",2
802,"ObservationLongTerm",2
1,"DemographicsGender",2
702,"MeasurementLongTerm",2
710,"MeasurementRangeGroupLongTerm",2
5,"DemographicsEthnicity",2
412,"DrugGroupEraShortTerm",2
704,"MeasurementShortTerm",2
502,"ProcedureOccurrenceLongTerm",2
902,"Dcsi",2
904,"Chads2Vasc",2
6,"DemographicsIndexYear",2
903,"Chads2",2
413,"DrugGroupEraOverlapping",2
212,"ConditionGroupEraShortTerm",2
804,"ObservationShortTerm",2
602,"DeviceExposureLongTerm",2
410,"DrugGroupEraLongTerm",2
901,"CharlsonIndex",2
4,"DemographicsRace",2
604,"DeviceExposureShortTerm",2
210,"ConditionGroupEraLongTerm",2
1,"DemographicsGender",3
7,"DemographicsIndexMonth",3
410,"DrugGroupEraLongTerm",3
904,"Chads2Vasc",3
6,"DemographicsIndexYear",3
802,"ObservationLongTerm",3
4,"DemographicsRace",3
903,"Chads2",3
504,"ProcedureOccurrenceShortTerm",3
702,"MeasurementLongTerm",3
3,"DemographicsAgeGroup",3
412,"DrugGroupEraShortTerm",3
502,"ProcedureOccurrenceLongTerm",3
902,"Dcsi",3
901,"CharlsonIndex",3
212,"ConditionGroupEraShortTerm",3
5,"DemographicsEthnicity",3
210,"ConditionGroupEraLongTerm",3
804,"ObservationShortTerm",3
413,"DrugGroupEraOverlapping",3
704,"MeasurementShortTerm",3
7,"DemographicsIndexMonth",4
504,"ProcedureOccurrenceShortTerm",4
3,"DemographicsAgeGroup",4
802,"ObservationLongTerm",4
1,"DemographicsGender",4
702,"MeasurementLongTerm",4
710,"MeasurementRangeGroupLongTerm",4
5,"DemographicsEthnicity",4
412,"DrugGroupEraShortTerm",4
704,"MeasurementShortTerm",4
502,"ProcedureOccurrenceLongTerm",4
902,"Dcsi",4
904,"Chads2Vasc",4
6,"DemographicsIndexYear",4
903,"Chads2",4
413,"DrugGroupEraOverlapping",4
212,"ConditionGroupEraShortTerm",4
804,"ObservationShortTerm",4
602,"DeviceExposureLongTerm",4
410,"DrugGroupEraLongTerm",4
901,"CharlsonIndex",4
4,"DemographicsRace",4
604,"DeviceExposureShortTerm",4
210,"ConditionGroupEraLongTerm",4
