"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,8215,8215,1772597,1772598,1772595,1,"Open Claims"
1,0.9999,0.9996,1,1,1,1,NA,NA,1772597,1772598,1772595,1,"Open Claims"
4,0.9999,0.9996,1,0.9998,0.9994,1,NA,NA,1772597,1772598,1772595,1,"Open Claims"
10,0.9998,0.9994,1,0.9996,0.9992,1,NA,NA,1772597,1772598,1772595,1,"Open Claims"
14,0.9996,0.9992,1,0.9995,0.999,1,NA,NA,1772597,1772598,1772595,1,"Open Claims"
15,0.9995,0.999,1,0.9995,0.999,1,NA,NA,1772597,1772598,1772595,1,"Open Claims"
16,0.9993,0.9987,0.9999,0.9995,0.999,1,NA,NA,1772597,1772598,1772595,1,"Open Claims"
17,0.999,0.9984,0.9997,0.9995,0.999,1,NA,NA,1772597,1772598,1772595,1,"Open Claims"
20,0.999,0.9984,0.9997,0.9994,0.9989,0.9999,NA,NA,1772597,1772598,1772595,1,"Open Claims"
21,0.9989,0.9982,0.9996,0.9994,0.9989,0.9999,NA,NA,1772597,1772598,1772595,1,"Open Claims"
22,0.9989,0.9982,0.9996,0.9993,0.9987,0.9999,NA,NA,1772597,1772598,1772595,1,"Open Claims"
25,0.9987,0.9979,0.9995,0.9993,0.9987,0.9999,NA,NA,1772597,1772598,1772595,1,"Open Claims"
27,0.9984,0.9976,0.9993,0.9993,0.9987,0.9999,NA,NA,1772597,1772598,1772595,1,"Open Claims"
29,0.9984,0.9976,0.9993,0.9991,0.9985,0.9998,NA,NA,1772597,1772598,1772595,1,"Open Claims"
31,0.9984,0.9976,0.9993,0.999,0.9984,0.9997,NA,NA,1772597,1772598,1772595,1,"Open Claims"
32,0.9984,0.9976,0.9993,0.9989,0.9982,0.9996,NA,NA,1772597,1772598,1772595,1,"Open Claims"
33,0.9983,0.9974,0.9992,0.9989,0.9982,0.9996,NA,NA,1772597,1772598,1772595,1,"Open Claims"
37,0.9983,0.9974,0.9992,0.9988,0.998,0.9995,NA,NA,1772597,1772598,1772595,1,"Open Claims"
38,0.9982,0.9973,0.9991,0.9988,0.998,0.9995,NA,NA,1772597,1772598,1772595,1,"Open Claims"
