targetId,comparatorId,outcomeId,outcomeName,type
291,299,4305080,Abnormal breathing,outcome
291,299,138384,Acquired hypothyroidism,outcome
291,299,194686,Acquired renal cystic disease,outcome
291,299,257004,Acute exacerbation of chronic obstructive airways disease,outcome
291,299,199866,Acute gastritis,outcome
291,299,436118,After-cataract with vision obscured following extraction of cataract,outcome
291,299,433753,Alcohol abuse,outcome
291,299,435243,Alcohol dependence,outcome
291,299,439147,Amnesia,outcome
291,299,200528,Ascites,outcome
291,299,438409,Attention deficit hyperactivity disorder,outcome
291,299,198803,Benign prostatic hyperplasia,outcome
291,299,443211,Benign prostatic hypertrophy with outflow obstruction,outcome
291,299,201072,Benign prostatic hypertrophy without outflow obstruction,outcome
291,299,444367,Cholelithiasis without obstruction,outcome
291,299,75860,Constipation,outcome
291,299,4311591,Cramp in limb,outcome
291,299,197610,Cyst of ovary,outcome
291,299,433163,Deficiency of macronutrients,outcome
291,299,435796,Dehydration,outcome
291,299,377910,Deviated nasal septum,outcome
291,299,201061,Diaphragmatic hernia,outcome
291,299,74725,Displacement of cervical intervertebral disc without myelopathy,outcome
291,299,433316,Dizziness and giddiness,outcome
291,299,381877,Dysfunction of eustachian tube,outcome
291,299,31317,Dysphagia,outcome
291,299,433440,Dysthymia,outcome
291,299,137351,Epidermoid cyst of skin,outcome
291,299,197381,Epigastric pain,outcome
291,299,30753,Esophagitis,outcome
291,299,197607,Excessive and frequent menstruation,outcome
291,299,201418,"Flatulence, eructation and gas pain",outcome
291,299,196456,Gallstone,outcome
291,299,318800,Gastroesophageal reflux disease,outcome
291,299,434613,Generalized anxiety disorder,outcome
291,299,4168217,Generalized hyperhidrosis,outcome
291,299,198400,Hemangioma of skin and subcutaneous tissue,outcome
291,299,79864,Hematuria syndrome,outcome
291,299,195562,Hemorrhoids,outcome
291,299,433811,Hydronephrosis,outcome
291,299,435511,Hypercalcemia,outcome
291,299,434610,Hyperkalemia,outcome
291,299,133729,Hyperparathyroidism,outcome
291,299,4172432,Hyperpigmentation of skin,outcome
291,299,78474,Hypertrophy of breast,outcome
291,299,440129,Hypertrophy of nasal turbinates,outcome
291,299,434004,Hypervolemia,outcome
291,299,435510,Hypocalcemia,outcome
291,299,437833,Hypokalemia,outcome
291,299,4098604,Hypomagnesemia,outcome
291,299,435515,Hypo-osmolality and or hyponatremia,outcome
291,299,436375,Hypovolemia,outcome
291,299,375806,Idiopathic peripheral neuropathy,outcome
291,299,374375,Impacted cerumen,outcome
291,299,4308509,Impaired fasting glycemia,outcome
291,299,76161,Impotence of organic origin,outcome
291,299,441417,Incoordination,outcome
291,299,40483107,Inflamed seborrheic keratosis,outcome
291,299,139099,Ingrowing nail,outcome
291,299,436962,Insomnia,outcome
291,299,201322,Internal hemorrhoids without complication,outcome
291,299,201620,Kidney stone,outcome
291,299,198101,Lipoma of skin and subcutaneous tissue,outcome
291,299,432798,"Mechanical complication of internal orthopedic device, implant AND/OR graft",outcome
291,299,4103703,Melena,outcome
291,299,439082,Menopausal syndrome,outcome
291,299,436940,Metabolic syndrome X,outcome
291,299,72737,Microcalcifications of the breast,outcome
291,299,318736,Migraine,outcome
291,299,434005,Morbid obesity,outcome
291,299,379805,Myopia,outcome
291,299,30234,Neck sprain,outcome
291,299,4209423,Nicotine dependence,outcome
291,299,136661,Non-toxic nodular goiter,outcome
291,299,437851,Open angle with borderline intraocular pressure,outcome
291,299,77139,Open wound of finger without complication,outcome
291,299,4211231,Panic disorder without agoraphobia,outcome
291,299,321596,Peripheral venous insufficiency,outcome
291,299,78162,Peripheral vertigo,outcome
291,299,373478,Presbyopia,outcome
291,299,136184,Pruritus of skin,outcome
291,299,261325,Pulmonary emphysema,outcome
291,299,432883,"Recurrent major depressive episodes, moderate",outcome
291,299,436246,Reduced libido,outcome
291,299,197006,Residual hemorrhoidal skin tags,outcome
291,299,73754,Restless legs,outcome
291,299,192450,Retention of urine,outcome
291,299,136773,Rosacea,outcome
291,299,136497,Scar conditions and fibrosis of skin,outcome
291,299,381295,Senile cataract,outcome
291,299,141932,Senile hyperkeratosis,outcome
291,299,4110815,"Sensorineural hearing loss, bilateral",outcome
291,299,313459,Sleep apnea,outcome
291,299,4002818,Spasm of back muscles,outcome
291,299,81151,Sprain of ankle,outcome
291,299,376382,Tension-type headache,outcome
291,299,26662,Testicular hypofunction,outcome
291,299,377575,Tinnitus,outcome
291,299,437264,Tobacco dependence syndrome,outcome
291,299,45768910,Uncomplicated asthma,outcome
291,299,197672,Urinary incontinence,outcome
291,299,4088920,Uterus absent,outcome
291,299,437246,Vitamin B deficiency,outcome
291,299,316127,Vitreous opacities,outcome
291,299,195603,Vulval and/or perineal noninflammatory disorders,outcome
291,300,4305080,Abnormal breathing,outcome
291,300,138384,Acquired hypothyroidism,outcome
291,300,194686,Acquired renal cystic disease,outcome
291,300,257004,Acute exacerbation of chronic obstructive airways disease,outcome
291,300,199866,Acute gastritis,outcome
291,300,436118,After-cataract with vision obscured following extraction of cataract,outcome
291,300,433753,Alcohol abuse,outcome
291,300,435243,Alcohol dependence,outcome
